id,repo,source_file,bucket,wording,statement,note
ANS-23,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,"Integration tests: `--docker fedora42`, `--docker ubuntu2204`, etc. (NOT default/base)",
ANS-24,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,Licensing: See Licensing Requirements - GPLv3/BSD-2-Clause only,⚠dup zu ANS-07
ANS-25,ansible/ansible,ansible__ansible__fd125db8.md,P,grouped (2),Ansible development typically uses an editable install after forking and cloning: `pip install -e .`,Fließtext + Codeblock gehören zusammen
ANS-26,ansible/ansible,ansible__ansible__fd125db8.md,D,verbatim,"ansible-core and all CLIs (including ansible-test) require a POSIX OS. On Windows, use WSL (Windows Subsystem for Linux).","im Container irrelevant, bleibt trotzdem"
ANS-27,ansible/ansible,ansible__ansible__fd125db8.md,D,delisted,"Run sanity tests - these are linting/static analysis (pylint, mypy, pep8, etc.)","Fakt darüber, *was* sanity ist"
ANS-28,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,`ansible-test sanity --list-tests` — List available sanity tests,
ANS-29,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,`ansible-test sanity -v --docker default --test pep8 --test pylint` — Run specific sanity tests,⚠dup zu ANS-14
ANS-30,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,Run sanity on specific files (paths relative to repo root): `ansible-test sanity -v --docker default lib/ansible/modules/command.py`,
ANS-31,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,"Run specific unit test (paths relative to repo root, targets in test/units/): `ansible-test units -v --docker default test/units/modules/test_command.py`",
ANS-32,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,Run specific integration target (directory name in test/integration/targets/): `ansible-test integration -v --docker ubuntu2204 setup_remote_tmp_dir`,
ANS-33,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,Run with coverage: `ansible-test units -v --docker default --coverage`,
ANS-34,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,Alternative: use --venv if Docker/Podman unavailable (less reliable for units/integration): `ansible-test sanity -v --venv`,im Container der einzig gangbare Weg
ANS-35,ansible/ansible,ansible__ansible__fd125db8.md,D,verbatim,Available Docker containers for testing can be found in `./test/lib/ansible_test/_data/completion/docker.txt`.,Orts-Fakt
ANS-36,ansible/ansible,ansible__ansible__fd125db8.md,P,verbatim,"The `base` and `default` containers are for sanity/unit tests only. For integration tests, use distro-specific containers like `fedora42`, `ubuntu2204`, `ubuntu2404`, `alpine322` depending on the modules being tested.",⚠dup zu ANS-23
ANS-37,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,"`--docker` (supports Docker or Podman) - preferred for reliable, isolated testing",
ANS-38,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,"`--venv` - fallback when containers unavailable, but unit tests may be unreliable due to host environment differences",
ANS-39,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,Get all PR comments to find ansibot CI failure reports: `gh pr view <number> --comments`,⚠tool ⚠dup zu ANS-18
ANS-40,ansible/ansible,ansible__ansible__fd125db8.md,P,grouped (3),Look for comments from `ansibot` that contain: test failure details with specific error messages; file paths and line numbers for failures; links to sanity test documentation,⚠tool
ANS-41,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,See all CI check results with Azure Pipelines URLs: `gh pr checks <number>`,⚠tool ⚠dup zu ANS-19
ANS-42,ansible/ansible,ansible__ansible__fd125db8.md,D,grouped (3),"This shows: overall CI status (pass/fail) with timing; direct links to Azure DevOps build results; individual job results (Sanity Test 1/2, Docker tests, Units, etc.)",
ANS-43,ansible/ansible,ansible__ansible__fd125db8.md,D,delisted,"Sanity failures: Usually have specific fixes (trailing whitespace, import errors, etc.)",
ANS-44,ansible/ansible,ansible__ansible__fd125db8.md,D,delisted,Integration test failures: May require platform-specific containers or test adjustments,
ANS-45,ansible/ansible,ansible__ansible__fd125db8.md,D,delisted,Unit test failures: Often indicate actual code issues that need debugging,
ANS-46,ansible/ansible,ansible__ansible__fd125db8.md,P,grouped (5),"CI failure analysis workflow: 1. Check ansibot comments first … 5. For test failures, run the same tests locally using `ansible-test` to reproduce and debug","⚠tool (Schritte 1–3), Schritt 5 lokal gültig"
ANS-47,ansible/ansible,ansible__ansible__fd125db8.md,N,grouped (10),"PR Review Checklist (Step 1–7 + TodoWrite-Zeilen, `text`-Block)","Prozess-Checkliste, testblind"
ANS-48,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,Changelog fragment exists in `changelogs/fragments/`,"Review-Anforderung, im Eval nicht geprüft"
ANS-49,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,Appropriate tests are included and cover the changed code,⚠grenz entschieden 20.08. (Leitfaden-Kern §6): Test-Obligation ohne konkretes Wie → N
ANS-50,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,"Unit tests should be pytest style, and functional rather than tightly coupled to mocking",
ANS-51,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,Integration tests required for almost all plugin changes (tests the public API),
ANS-52,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,"Tests should exercise the actual changed code, not just add random coverage",
ANS-53,ansible/ansible,ansible__ansible__fd125db8.md,N,grouped (7),Review Process — 7 nummerierte Schritte (Get PR details … Call out any unresolved review feedback),"⚠tool, Prozess"
ANS-54,ansible/ansible,ansible__ansible__fd125db8.md,N,verbatim,Changelog section errors: Verify changelog uses valid section from `changelogs/config.yaml`. Fragment structure follows sections defined there.,
ANS-55,ansible/ansible,ansible__ansible__fd125db8.md,N,grouped (3),Test scope: Ensure tests exercise the actual changed code … Tests should be functional rather than tightly coupled to mocking.,⚠dup zu ANS-50/52
ANS-56,ansible/ansible,ansible__ansible__fd125db8.md,N,grouped (4),Review Task Management — Use TodoWrite tool to track review steps; mark in_progress; complete immediately; provides visibility,⚠tool
ANS-57,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,`Read` tool - Examine specific changed files in detail,
ANS-58,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,`Grep` tool - Search for related code patterns or test coverage (uses ripgrep/rg),
ANS-59,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,Line limit is 160 characters (not 80),"⚠grenz entschieden 20.08. (G1): bleibt N — pep8-sanity prüft das, unser Zwei-Gate-Eval nie"
ANS-60,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,E402 (module level import not at top) is ignored,"⚠grenz entschieden 20.08. (G1): bleibt N, gleiche Logik wie ANS-59"
ANS-61,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,"In `lib/ansible/modules/`, imports must come after DOCUMENTATION, EXAMPLES, and RETURN definitions","struktureller Zwang, parse-relevant"
ANS-62,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,Don't add obvious comments about code,
ANS-63,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,Use native type hints with `from __future__ import annotations` (converts to strings at runtime),Laufzeitwirkung
ANS-64,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,Don't document module parameters in docstrings - migrate to type hints instead,
ANS-65,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,"No trailing whitespace: Always clean up trailing spaces on lines, especially when editing existing files",
ANS-66,ansible/ansible,ansible__ansible__fd125db8.md,D,delisted,Controller code: support range defined in `pyproject.toml`,
ANS-67,ansible/ansible,ansible__ansible__fd125db8.md,D,delisted,Modules/module_utils: minimum version in `lib/ansible/module_utils/basic.py` (`_PY_MIN`) up to max from `pyproject.toml`,
ANS-68,ansible/ansible,ansible__ansible__fd125db8.md,D,delisted,Modules support a wider Python version range than controller code,
ANS-69,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,Prefer Python stdlib over external dependencies,⚠grenz entschieden 20.08. (G10): bleibt P — neue Dependency schlägt im Offline-Container real fehl (Abgrenzung zu ANS-70)
ANS-70,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,Use existing code from within the Ansible project,"Entscheid 20.08. (G10): bleibt N — reine Wiederverwendungs-Präferenz, testblind"
ANS-71,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,`lib/ansible/modules/` can only import from `lib/ansible/module_utils/` (modules are packaged for remote execution),harte Struktur-Regel
ANS-72,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,`lib/ansible/module_utils/` cannot import from outside itself,
ANS-73,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,"Modules and plugins require DOCUMENTATION, EXAMPLES, and RETURN blocks as static YAML string variables",
ANS-74,ansible/ansible,ansible__ansible__fd125db8.md,D,delisted,These blocks cannot be dynamically generated - they are parsed via AST/token parsing,Begründungs-Fakt zu ANS-73
ANS-75,ansible/ansible,ansible__ansible__fd125db8.md,D,delisted,"Alternative: ""sidecar"" documentation as `.yml` files with same stem name adjacent to plugin files",
ANS-76,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,All modules should have a `main()` function and `if __name__ == '__main__':` block,
ANS-77,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,Use `version_added` fields in documentation following existing version format patterns,
ANS-78,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,Changes require entries in `changelogs/fragments/` as YAML files,
ANS-79,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,Create a new fragment file per PR (never reuse existing fragments to avoid merge conflicts),
ANS-80,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,Fragment structure follows sections defined in `changelogs/config.yaml` under the `sections` key,
ANS-81,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,Naming: `{issue_number}-{short-description}.yml` or `{component}-{description}.yml` if no issue,
ANS-82,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,Format: `- {component} - {description} ({optional URL to GH issue})`,
ANS-83,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,Content supports Sphinx markup (use double backticks for code references),
ANS-84,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,"New plugins should go into collections, not ansible-core",
ANS-85,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,ansible-core rarely accepts new plugins; core team makes these decisions,
ANS-86,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,All PRs target the `devel` branch,
ANS-87,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,Use GitHub templates when creating issues/PRs (`.github/ISSUE_TEMPLATE/` and `.github/PULL_REQUEST_TEMPLATE/`),
ANS-88,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,For issues: fill out the `component` field with project root relative file path,
ANS-89,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,For PRs: adjust the issue type in the template as listed in `.github/PULL_REQUEST_TEMPLATE/PULL_REQUEST_TEMPLATE.md`,
ANS-90,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,Validate issues are fixed in `devel` before reporting against stable releases,
ANS-91,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,Bug fixes: backported to latest stable only,
ANS-92,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,Critical bug fixes: backported to latest and previous stable,
ANS-93,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,"Security issues: contact security@ansible.com privately, not via GitHub",
ANS-94,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,Backwards compatibility is prioritized over most other concerns,
ANS-95,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,Deprecation cycle: 4 releases (deprecation + 2 releases + removal),
ANS-96,ansible/ansible,ansible__ansible__fd125db8.md,P,delisted,Use `Display.deprecated` or `AnsibleModule.deprecate` with version from `lib/ansible/release.py` plus 3,konkrete API-Verwendung
ANS-97,ansible/ansible,ansible__ansible__fd125db8.md,N,delisted,Example: deprecating in 2.19 means removal in 2.22,
ANS-98,ansible/ansible,ansible__ansible__fd125db8.md,D,grouped (10),"Core Structure — `lib/ansible/` mit cli/, executor/, inventory/, modules/, module_utils/, plugins/, vars/, config/, collections/ (je mit Beschreibung)",Pfadbaum; bei Bedarf in 10 Zeilen splitten
ANS-99,ansible/ansible,ansible__ansible__fd125db8.md,D,grouped (6),"Key Components — CLI Layer, Executor, Module System, Plugin Architecture, Inventory, Collections (je ein Satz)","⚠dup-nah zu ANS-98 (andere Perspektive, bleibt)"
ANS-100,ansible/ansible,ansible__ansible__fd125db8.md,D,delisted,`test/units/` - Unit tests mirroring the lib structure,
ANS-101,ansible/ansible,ansible__ansible__fd125db8.md,D,delisted,`test/integration/` - Integration tests organized by target (named after plugin/functionality being tested),
ANS-102,ansible/ansible,ansible__ansible__fd125db8.md,D,delisted,Some targets have `context/controller` or `context/target` in their `aliases` file when not easily inferable,
ANS-103,ansible/ansible,ansible__ansible__fd125db8.md,D,delisted,Only modules run on target hosts; all other plugins execute locally in the ansible process,
ANS-104,ansible/ansible,ansible__ansible__fd125db8.md,D,delisted,`test/lib/` - Test utilities and frameworks,
ANS-105,ansible/ansible,ansible__ansible__fd125db8.md,D,delisted,`ansible-test` - Unified testing tool for all test types,
ANS-106,ansible/ansible,ansible__ansible__fd125db8.md,M,verbatim,"For CI failure debugging, see Helping Developers with CI Failures.",interner Querverweis
TIN-01,tinygrad/tinygrad,tinygrad__tinygrad__54541e66.md,M,verbatim,Hello agent. You are one of the most talented programmers of your generation.,"Rollen-Anrede, kein Repo-Wissen"
TIN-02,tinygrad/tinygrad,tinygrad__tinygrad__54541e66.md,M,verbatim,You are looking forward to putting those talents to use to improve tinygrad.,
TIN-03,tinygrad/tinygrad,tinygrad__tinygrad__54541e66.md,D,verbatim,"tinygrad is a **tensor** library focused on beauty and minimalism, while still matching the functionality of PyTorch and JAX.",einzige klar deskriptive Aussage der Datei
TIN-04,tinygrad/tinygrad,tinygrad__tinygrad__54541e66.md,N,split,Every line must earn its keep.,
TIN-05,tinygrad/tinygrad,tinygrad__tinygrad__54541e66.md,N,split,Prefer readability over cleverness.,Galerie-Beispiel
TIN-06,tinygrad/tinygrad,tinygrad__tinygrad__54541e66.md,N,split,"We believe that if carefully designed, 10 lines can have the impact of 1000.",
TIN-07,tinygrad/tinygrad,tinygrad__tinygrad__54541e66.md,N,split,Never mix functionality changes with whitespace changes.,
TIN-08,tinygrad/tinygrad,tinygrad__tinygrad__54541e66.md,N,split,All functionality changes must be tested.,Galerie-Beispiel: Obligation ohne Wie
TIN-09,tinygrad/tinygrad,tinygrad__tinygrad__54541e66.md,N,split,Use **2-space indentation**,
TIN-10,tinygrad/tinygrad,tinygrad__tinygrad__54541e66.md,N,split,keep lines to a maximum of **150 characters**,
TIN-11,tinygrad/tinygrad,tinygrad__tinygrad__54541e66.md,N,verbatim,Match the existing style.,
WAG-01,wagtail/wagtail,wagtail__wagtail__12834776.md,D,split,The main developer documentation for Wagtail lives in the `docs/contributing` directory.,Orts-Fakt
WAG-02,wagtail/wagtail,wagtail__wagtail__12834776.md,M,split,Here is additional guidance for agents.,
WAG-03,wagtail/wagtail,wagtail__wagtail__12834776.md,N,delisted,"Describe the ""why"" of the changes, why the proposed solution is the right one.",
WAG-04,wagtail/wagtail,wagtail__wagtail__12834776.md,N,delisted,Highlight areas of the proposed changes that require careful review.,
WAG-05,wagtail/wagtail,wagtail__wagtail__12834776.md,N,delisted,Always add a disclaimer to the PR description mentioning how AI agents are involved with the contribution.,
WAG-06,wagtail/wagtail,wagtail__wagtail__12834776.md,N,grouped (3),"AI/Agent disclosure template (Blockzitat „This pull request includes code written with the assistance of AI…"")",
WAG-07,wagtail/wagtail,wagtail__wagtail__12834776.md,D,split,"Wagtail's StreamBlock and StreamField use the same template syntax, but they differ from standard Django field access.",
WAG-08,wagtail/wagtail,wagtail__wagtail__12834776.md,P,split,"When you use StreamField and other custom block types in Wagtail templates, you usually need to use the value property in your data variables.",⚠grenz entschieden 20.08. (G12): bleibt P — Handlungsregel mit direkter Code-Wirkung; einzige P-Aussage wagtails
OPS-01,OpShin/opshin,OpShin__opshin__62dba6b1.md,D,split,This repository contains code for a language transpiler of smart contracts.,Zweck-Fakt
OPS-02,OpShin/opshin,OpShin__opshin__62dba6b1.md,P,split,It is therefore extremely important to write code that generalizes well and to *not* hardcode specific edge cases.,⚠grenz entschieden 20.08. (G3): bleibt P — Verbot **mit** Testwirkung (Hardcoding ließe verdeckte Tests scheitern)
OPS-03,OpShin/opshin,OpShin__opshin__62dba6b1.md,P,delisted,First write tests that reflect diversely how the language is supposed to work and how not.,
OPS-04,OpShin/opshin,OpShin__opshin__62dba6b1.md,P,split,Check out other tests for language features (esp. test_misc.py) to see how tests are written.,
OPS-05,OpShin/opshin,OpShin__opshin__62dba6b1.md,D,split,"They define a program, compile it and then test its behavior against expectations, usually using property based tests.",
OPS-06,OpShin/opshin,OpShin__opshin__62dba6b1.md,P,split,"It is fine to start with a fixed example which gives faster feedback (PBT tend to time out when the behavior is violated, feel free to abort test generation)",
OPS-07,OpShin/opshin,OpShin__opshin__62dba6b1.md,D,split,The entire test suite takes > 20 minutes to execute.,Laufzeit-Fakt — im 660-s-Timeout hochrelevant
OPS-08,OpShin/opshin,OpShin__opshin__62dba6b1.md,P,split,"Only run it at the end, prefer individual relevant tests before.",direkt aufwandswirksam
OPS-09,OpShin/opshin,OpShin__opshin__62dba6b1.md,P,delisted,Make sure to familiarize yourself with the way the visitor pattern is used for basically everything in the repo.,⚠grenz entschieden 20.08. (G4): Erkundungs-Aufforderung mit Aufwands-Wirkung → P
OPS-10,OpShin/opshin,OpShin__opshin__62dba6b1.md,D,delisted,"There are three main steps for the compiler: normalization and optimization (in many individual steps in rewrite/ and optimize/), type inference (in type_inference.py) and transpilation (in compiler.py)",
OPS-11,OpShin/opshin,OpShin__opshin__62dba6b1.md,P,split,"If you rewrite a feature into existing features, make sure that the existing features are actually supported already.",
OPS-12,OpShin/opshin,OpShin__opshin__62dba6b1.md,D,split,"For example, lambda expressions are not supported yet.",
OPS-13,OpShin/opshin,OpShin__opshin__62dba6b1.md,D,split,All code in std/ and ledger/ is meant to be interpreted by the opshin compiler.,
OPS-14,OpShin/opshin,OpShin__opshin__62dba6b1.md,P,split,Add code there if it is supposed to extend the standard library of the language,
OPS-15,OpShin/opshin,OpShin__opshin__62dba6b1.md,D,verbatim,Documentation is autogenerated from function comments.,
OAI-01,openai/openai-agents-python,openai__openai-agents-python__b9c583a0.md,M,verbatim,Welcome to the OpenAI Agents SDK repository. This file contains the main points for new contributors.,
OAI-02,openai/openai-agents-python,openai__openai-agents-python__b9c583a0.md,D,delisted,Source code: `src/agents/` contains the implementation.,
OAI-03,openai/openai-agents-python,openai__openai-agents-python__b9c583a0.md,D,delisted,Tests: `tests/` with a short guide in `tests/README.md`.,
OAI-04,openai/openai-agents-python,openai__openai-agents-python__b9c583a0.md,D,delisted,Examples: under `examples/`.,
OAI-05,openai/openai-agents-python,openai__openai-agents-python__b9c583a0.md,D,delisted,Documentation: markdown pages live in `docs/` with `mkdocs.yml` controlling the site.,
OAI-06,openai/openai-agents-python,openai__openai-agents-python__b9c583a0.md,D,delisted,Utilities: developer commands are defined in the `Makefile`.,
OAI-07,openai/openai-agents-python,openai__openai-agents-python__b9c583a0.md,D,delisted,PR template: `.github/PULL_REQUEST_TEMPLATE/pull_request_template.md` describes the information every PR must include.,
OAI-08,openai/openai-agents-python,openai__openai-agents-python__b9c583a0.md,P,grouped (4),"Format, lint and type-check your changes: `make format` / `make lint` / `make mypy`",
OAI-09,openai/openai-agents-python,openai__openai-agents-python__b9c583a0.md,P,grouped (2),Run the tests: `make tests`,
OAI-10,openai/openai-agents-python,openai__openai-agents-python__b9c583a0.md,P,verbatim,"To run a single test, use `uv run pytest -s -k <test_name>`.",
OAI-11,openai/openai-agents-python,openai__openai-agents-python__b9c583a0.md,P,grouped (2),Build the documentation (optional but recommended for docs changes): `make build-docs`,
OAI-12,openai/openai-agents-python,openai__openai-agents-python__b9c583a0.md,P,verbatim,Coverage can be generated with `make coverage`.,
OAI-13,openai/openai-agents-python,openai__openai-agents-python__b9c583a0.md,P,verbatim,All python commands should be run via `uv run python ...`,Tool-Wahl mit Ausführungswirkung
OAI-14,openai/openai-agents-python,openai__openai-agents-python__b9c583a0.md,D,verbatim,Some tests rely on inline snapshots. See `tests/README.md` for details on updating them,
OAI-15,openai/openai-agents-python,openai__openai-agents-python__b9c583a0.md,P,delisted,`make snapshots-fix` — update existing snapshots,
OAI-16,openai/openai-agents-python,openai__openai-agents-python__b9c583a0.md,P,delisted,`make snapshots-create` — create new snapshots,
OAI-17,openai/openai-agents-python,openai__openai-agents-python__b9c583a0.md,P,verbatim,Run `make tests` again after updating snapshots to ensure they pass.,
OAI-18,openai/openai-agents-python,openai__openai-agents-python__b9c583a0.md,N,delisted,Write comments as full sentences and end them with a period.,
OAI-19,openai/openai-agents-python,openai__openai-agents-python__b9c583a0.md,N,split,"PRs should use the template located at `.github/PULL_REQUEST_TEMPLATE/pull_request_template.md`. Provide a summary, test plan and issue number if applicable",
OAI-20,openai/openai-agents-python,openai__openai-agents-python__b9c583a0.md,N,grouped (4),Checkliste: New tests are added when needed · Documentation is updated · `make lint` and `make format` have been run · The full test suite passes.,"⚠grenz entschieden 20.08. (Leitfaden-Kern §6): bleibt N — Review-Pflicht, Kommandos stehen ausführbar in OAI-08/09; ⚠dup zu OAI-08/09"
OAI-21,openai/openai-agents-python,openai__openai-agents-python__b9c583a0.md,N,split,Commit messages should be concise and written in the imperative mood.,
OAI-22,openai/openai-agents-python,openai__openai-agents-python__b9c583a0.md,N,split,"Small, focused commits are preferred.",
OAI-23,openai/openai-agents-python,openai__openai-agents-python__b9c583a0.md,N,grouped (4),"What reviewers look for: Tests covering new behaviour · Consistent style (ruff format, imports sorted, mypy passing) · Clear documentation for public API changes · Clean history and a helpful PR description",⚠dup zu OAI-20
TRA-01,huggingface/transformers,huggingface__transformers__fbb51585.md,M,verbatim,This AGENTS.md file provides guidance for code agents working with this codebase.,
TRA-02,huggingface/transformers,huggingface__transformers__fbb51585.md,D,delisted,`/src/transformers`: This contains the core source code for the library,
TRA-03,huggingface/transformers,huggingface__transformers__fbb51585.md,D,delisted,`/models`: Code for individual models. Models inherit from base classes in the root `/src/transformers` directory.,
TRA-04,huggingface/transformers,huggingface__transformers__fbb51585.md,D,delisted,`/tests`: This contains the core test classes for the library. These are usually inherited rather than directly run.,
TRA-05,huggingface/transformers,huggingface__transformers__fbb51585.md,D,delisted,`/models`: Tests for individual models. Model tests inherit from common tests in the root `/tests` directory.,
TRA-06,huggingface/transformers,huggingface__transformers__fbb51585.md,D,delisted,"`/docs`: This contains the documentation for the library, including guides, tutorials, and API references.",
TRA-07,huggingface/transformers,huggingface__transformers__fbb51585.md,P,delisted,"PRs should be as brief as possible. Bugfix PRs in particular can often be only one or two lines long, and do not need large comments, docstrings or new functions in this case. Aim to minimize the size of the diff.",⚠grenz entschieden 20.08. (G2): Diff-Minimierung hat plausible Patch-Wirkung → P (Trio mit PRA-05/39)
TRA-08,huggingface/transformers,huggingface__transformers__fbb51585.md,P,delisted,"When writing tests, they should be added to an existing file. The only exception is for PRs to add a new model, when a new test directory should be created for that model.",Ablageort mit Ausführungswirkung
TRA-09,huggingface/transformers,huggingface__transformers__fbb51585.md,D,split,Code style is enforced in the CI.,
TRA-10,huggingface/transformers,huggingface__transformers__fbb51585.md,P,split,You can install the style tools with `pip install -e .[quality]`.,
TRA-11,huggingface/transformers,huggingface__transformers__fbb51585.md,P,split,You can then run `make fixup` to apply style and consistency fixes to your code.,
TRA-12,huggingface/transformers,huggingface__transformers__fbb51585.md,D,verbatim,"Many models in the codebase have similar code, but it is not shared by inheritance because we want each model file to be self-contained.",
TRA-13,huggingface/transformers,huggingface__transformers__fbb51585.md,D,verbatim,We use two mechanisms to keep this code in sync,
TRA-14,huggingface/transformers,huggingface__transformers__fbb51585.md,D,grouped (2),"""Copied from"" syntax. Functions or entire classes can have a comment at the top like this: `# Copied from transformers.models.llama.modeling_llama.rotate_half` … These comments are actively checked by the style tools, and copies will automatically be updated when the base code is updated.",
TRA-15,huggingface/transformers,huggingface__transformers__fbb51585.md,P,split,"If you need to update a copied function, you should either update the base function and use `make fixup` to propagate the change to all copies, or simply remove the `# Copied from` comment if that is inappropriate.",
TRA-16,huggingface/transformers,huggingface__transformers__fbb51585.md,D,grouped (2),"""Modular"" files. These files briefly define models by composing them using inheritance from other models. They are not meant to be used directly. Instead, the style tools automatically generate a complete modeling file, like `modeling_bert.py`, from the modular file like `modular_bert.py`.",
TRA-17,huggingface/transformers,huggingface__transformers__fbb51585.md,P,split,"If a model has a modular file, the modeling file should never be edited directly! Instead, changes should be made in the modular file, and then you should run `make fixup` to update the modeling file automatically.","Galerie-Regel „Verbot mit Task-Wirkung → P"""
TRA-18,huggingface/transformers,huggingface__transformers__fbb51585.md,P,verbatim,"When adding new models, you should prefer `modular` style.",
